Date,Rep,Trt,Plug,Dist_I_P(unit:mm),Dist_P_E(unit:mm),IsNAorNot
11,4,25-75,75,17.94,0,FALSE
11,5,25-75,WA,17.23,0,FALSE
11,5,25-75,25,17.13,0,FALSE
11,5,25-75,75,17.38,0,FALSE
11,1,25-50,WA,16.35,0,FALSE
11,1,25-50,25,15.81,0,FALSE
11,1,25-50,50,17.32,0,FALSE
11,2,25-50,WA,18.38,0,FALSE
11,2,25-50,25,19.68,0,FALSE
11,2,25-50,50,19.75,0,FALSE
11,3,25-50,WA,16.64,0,FALSE
11,3,25-50,25,15.94,0,FALSE
11,3,25-50,50,16.18,0,FALSE
11,4,25-50,WA,17.61,0,FALSE
11,4,25-50,25,17.8,0,FALSE
11,4,25-50,50,18.27,0,FALSE
11,5,25-50,WA,17.52,0,FALSE
11,5,25-50,25,16.56,0,FALSE
11,5,25-50,50,17,0,FALSE
11,1,100-200,WA,16.55,0,FALSE
11,1,100-200,100,19.63,0,FALSE
11,1,100-200,200,19.65,1.44,FALSE
11,2,100-200,WA,16.83,0,FALSE
11,2,100-200,100,21.02,0,FALSE
11,2,100-200,200,19.31,3.22,FALSE
11,3,100-200,WA,15.68,0,FALSE
11,3,100-200,100,19.29,0,FALSE
11,3,100-200,200,19.31,4.11,FALSE
11,5,100-200,WA,15.58,0,FALSE
11,5,100-200,100,17.97,0,FALSE
11,5,100-200,200,21.02,1.33,FALSE
11,1,100-150,WA,16.11,0,FALSE
11,1,100-150,100,18.01,0,FALSE
11,1,100-150,150,19.39,0,FALSE
11,2,100-150,WA,16.74,0,FALSE
11,2,100-150,100,19.07,0,FALSE
11,2,100-150,150,21.79,0,FALSE
11,3,100-150,WA,15.63,0,FALSE
11,3,100-150,100,19.23,0,FALSE
11,3,100-150,150,18.75,0,FALSE
11,4,100-150,WA,18.29,0,FALSE
11,4,100-150,100,18.57,0,FALSE
11,4,100-150,150,20.19,0,FALSE
11,5,100-150,WA,15.78,0,FALSE
11,5,100-150,100,18.91,0,FALSE
11,5,100-150,150,19.63,0,FALSE
11,4,100-200,WA,14.51,0,FALSE
11,4,100-200,100,19.92,0,FALSE
11,4,100-200,200,20.95,0,FALSE
11,1,25-100,WA,17.13,0,FALSE
11,1,25-100,25,17.37,0,FALSE
11,1,25-100,100,18.79,0,FALSE
11,2,25-100,WA,17.61,0,FALSE
11,2,25-100,25,17.44,0,FALSE
11,2,25-100,100,19.64,0,FALSE
11,3,25-100,WA,17.8,0,FALSE
11,3,25-100,25,18.48,0,FALSE
11,3,25-100,100,18.37,0,FALSE
11,4,25-100,WA,17.14,0,FALSE
11,4,25-100,25,19.12,0,FALSE
11,4,25-100,100,18.06,0,FALSE
11,5,25-100,WA,17.13,0,FALSE
11,5,25-100,25,16.76,0,FALSE
11,5,25-100,100,19.05,0,FALSE
11,1,50-200,WA,17.08,0,FALSE
11,1,50-200,50,19.03,0,FALSE
11,1,50-200,200,19.6,5.29,FALSE
