date,trt,conc.,rep,Innoculate_to_plug(mm),plug_to_edge(mm),IsNA,預設距離為 12mm
10,75-100,75,4,12.96,5.7,,
10,75-100,75,5,12.46,6.76,,
10,75-100,75,6,13.31,8.23,,
10,75-100,75,7,13.26,5.98,,
10,75-100,75,8,14.06,6.32,,
10,75-100,75,9,12.68,5.79,,
10,75-100,75,10,12.42,6.59,,
10,75-100,100,1,12.29,8.83,,
10,75-100,100,2,12.64,6.98,,
10,75-100,100,3,13.26,8.54,,
10,75-100,100,4,13.26,6.5,,
10,75-100,100,5,13.39,7.52,,
10,75-100,100,6,13.08,9.48,,
10,75-100,100,7,12.46,8.19,,
10,75-100,100,8,12.2,6.85,,
10,75-100,100,9,12.59,7.61,,
10,75-100,100,10,12.28,5.34,,
